"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"100148_at",6.60735394077187,7.10105897017411,7.11218054786271,7.04086605363798,7.08917815265342,7.55051200974029,6.90189647995706,7.1601310943361,7.32717159567303,6.87527736889286,6.84224891196351,6.97866744529955
"100149_at",4.32254103667857,4.35758722019943,4.1538292494346,4.35864338981519,4.38072804931665,4.2903426286337,4.48637418101781,4.41020063578605,4.35414942912946,4.44615242687354,4.41321755012121,4.38291521170807
"100150_f_at",4.02608022297935,4.02730749962237,3.86749964918048,4.11839342743156,3.7412702950286,3.80462783902906,4.112003221415,3.99555734227149,3.7818749424361,4.01630134299999,3.93488812197564,3.75109937826717
"100151_at",9.73499980818662,9.74359589366199,10.0031568507245,10.5542827353006,10.1902835438424,10.6758922873811,10.1369038812733,10.2222374322941,10.3034100976464,9.80273947146447,9.89454219823732,10.0596697839866
"100152_at",5.4899006843433,5.24396315829421,5.17409872455077,5.27670173589055,5.23923269095096,5.08917695609704,5.46530702353309,5.28857430706216,5.15236707189715,5.42979038291018,5.27323140118303,5.14370351849111
"100153_at",7.3099817134423,7.20288980622565,6.93122853127413,7.2133326644255,7.14749501811643,6.85746857691242,7.22266501682137,7.07716796445767,6.88829483949269,7.16910034055344,7.28183034503772,7.1055790580603
"100154_at",6.79984129466373,6.7901739830134,6.83758356600153,7.19155574906103,6.81083110043151,6.68210075647857,7.07401038683318,6.78539788801827,6.82924568267466,7.00842092306889,6.83957278752511,6.83264070955873
"100155_at",6.95777866596235,7.10562833055942,6.9472522706246,7.0813358290562,7.07776890080917,6.72460591022419,6.99553040222814,7.13059192666075,7.12251883830035,7.1418763148947,7.04887363090091,7.1374243877057
"100156_at",7.3694948991092,7.15287986184959,7.10448982408074,7.23985707442682,7.14293269761825,7.1533585968269,7.4182227892908,7.22894613078927,7.26204801289339,7.26706031413068,7.36060258018516,7.20930415841335
"100213_f_at",13.2963441125882,13.3700858794662,13.4915212182766,13.5823047742642,13.6908817405117,13.8458710781535,13.367413623801,13.4792965907606,13.7297277042337,13.1639279784782,13.2110739307415,13.3690875253255
"100225_f_at",7.304350160678,7.61509534140925,7.56994447523977,7.52974865604214,7.61140142703464,7.83425546451427,7.49439703338346,7.62613347382486,7.61948947383354,7.55053102462525,7.51561419699211,7.57086619102348
